codigo_glaciar,nombre,tipo_glaciar,area_km2,region,provincia,comuna,latitud,longitud,cuenca,macrozona,altitud_media_msnm,altitud_max_msnm,altitud_min_msnm,volumen_hielo_km3,volumen_agua_km3,pendiente_grados,orientacion,anio_inventario
CL104521012@,sin_nombre,GLACIAR ROCOSO,0.0323182518738,COQUIMBO,LIMARI,MONTE PATRIA,-30.6366430656787,-70.4220337735991,RIO LIMARI,MACROZONA NORTE,3716.80266667,3746,3699,0.000162299379037,0.000148828530577,12.8844377832,W,2019
CL104500134@,sin_nombre,GLACIAR ROCOSO,0.0828251473015,COQUIMBO,LIMARI,RIO HURTADO,-30.6410776035056,-70.3867673893017,RIO LIMARI,MACROZONA NORTE,3976.21161826,4071,3912,0.000582025803101,0.000533717661444,20.4586153924,NW,2019
CL104500133@,sin_nombre,GLACIAR ROCOSO,0.0402782941079,COQUIMBO,LIMARI,RIO HURTADO,-30.6304171613396,-70.3790378674262,RIO LIMARI,MACROZONA NORTE,3922.88311688,3986,3898,0.0002188152321,0.000200653567836,20.0973244555,SW,2019
CL104520040@,sin_nombre,GLACIAR ROCOSO,0.0715736605386,COQUIMBO,LIMARI,MONTE PATRIA,-30.6645338299484,-70.3646556680481,RIO LIMARI,MACROZONA NORTE,3842.45793269,3914,3816,0.000477415200431,0.000437789738795,20.2574053478,SW,2019
CL104520041@,sin_nombre,GLACIAR ROCOSO,0.043100829234,COQUIMBO,LIMARI,MONTE PATRIA,-30.6647808617495,-70.3610278963698,RIO LIMARI,MACROZONA NORTE,3872.53081511,3992,3795,0.000239879483252,0.000219969486142,26.5689583972,S,2019
CL104520045@,sin_nombre,GLACIAR ROCOSO,0.133262888237,COQUIMBO,LIMARI,MONTE PATRIA,-30.6645811926726,-70.3500812789344,RIO LIMARI,MACROZONA NORTE,3867.09219858,4040,3761,0.00110975350178,0.00101764396113,26.965642131,SW,2019
CL104520047@,sin_nombre,GLACIAR ROCOSO,0.0537883149269,COQUIMBO,LIMARI,MONTE PATRIA,-30.6734076387773,-70.3388672526129,RIO LIMARI,MACROZONA NORTE,3939.21111111,3980,3897,0.000323995996322,0.000297104328627,17.3254076481,W,2019
CL104520056@,sin_nombre,GLACIAR ROCOSO,0.0510783555294,COQUIMBO,LIMARI,MONTE PATRIA,-30.6848514437498,-70.3253670067266,RIO LIMARI,MACROZONA NORTE,4002.91959799,4190,3926,0.000302046350542,0.000276976503447,31.6114923335,SE,2019
CL104520028@,sin_nombre,GLACIAR ROCOSO,0.154390625884,COQUIMBO,LIMARI,MONTE PATRIA,-30.6759745544972,-70.4085830815879,RIO LIMARI,MACROZONA NORTE,4175.80989439,4365,4080,0.00135504809321,0.00124257910147,28.8625791419,E,2019
CL104520020@,sin_nombre,GLACIAR ROCOSO,0.0850916816672,COQUIMBO,LIMARI,MONTE PATRIA,-30.6846665907435,-70.4243133482167,RIO LIMARI,MACROZONA NORTE,4312.98993964,4456,4213,0.000603744120144,0.000553633358172,25.9272900621,SE,2019
CL104520010@,sin_nombre,GLACIAR ROCOSO,0.100499469563,COQUIMBO,LIMARI,MONTE PATRIA,-30.6953434054506,-70.4379613181579,RIO LIMARI,MACROZONA NORTE,3798.51924722,3904,3735,0.000756715004892,0.000693907659486,20.4955952254,SW,2019
CL104520017@,sin_nombre,GLACIAR ROCOSO,0.0831247230103,COQUIMBO,LIMARI,MONTE PATRIA,-30.7178123101171,-70.4011032151698,RIO LIMARI,MACROZONA NORTE,3689.33540373,3776,3625,0.000584884358089,0.000536338956368,22.4126451909,SW,2019
CL104520023@,sin_nombre,GLACIAR ROCOSO,0.0620318318721,COQUIMBO,LIMARI,MONTE PATRIA,-30.6932178448494,-70.3901740274423,RIO LIMARI,MACROZONA NORTE,3714.54356846,3762,3673,0.000393164350024,0.000360531708972,14.7843339625,SW,2019
CL104520069@,sin_nombre,GLACIAR ROCOSO,0.0799577299021,COQUIMBO,LIMARI,MONTE PATRIA,-30.7110196590065,-70.342521777219,RIO LIMARI,MACROZONA NORTE,3870.4219591,3968,3777,0.000554852757161,0.000508799978317,24.9099313615,S,2019
CL104514023@,sin_nombre,GLACIAR ROCOSO,0.0251260439956,COQUIMBO,LIMARI,MONTE PATRIA,-30.8006435875346,-70.4888660527617,RIO LIMARI,MACROZONA NORTE,3832.70547945,3875,3796,0.000115335907103,0.000105763026813,24.3577515491,SW,2019
CL104514024@,sin_nombre,GLACIAR ROCOSO,0.0486798022057,COQUIMBO,LIMARI,MONTE PATRIA,-30.8126289138732,-70.5039764224749,RIO LIMARI,MACROZONA NORTE,3627.85159011,3754,3576,0.000282962209967,0.00025947634654,31.6873146788,S,2019
CL104514025@,sin_nombre,GLACIAR ROCOSO,0.0954373893387,COQUIMBO,LIMARI,MONTE PATRIA,-30.8117116547051,-70.5002399813813,RIO LIMARI,MACROZONA NORTE,3689.5564589,3808,3610,0.000705462907374,0.000646909486062,29.4769222265,S,2019
CL104514027@,sin_nombre,GLACIAR ROCOSO,0.0423049033717,COQUIMBO,LIMARI,MONTE PATRIA,-30.8232668887141,-70.4965725263189,RIO LIMARI,MACROZONA NORTE,3599.2892057,3649,3548,0.000233888193961,0.000214475473862,24.0004756193,S,2019
CL104514026@,sin_nombre,GLACIAR ROCOSO,0.0382130852546,COQUIMBO,LIMARI,MONTE PATRIA,-30.8234334114713,-70.4992973207708,RIO LIMARI,MACROZONA NORTE,3580.19821826,3671,3524,0.000203731383543,0.000186821678709,24.663836939,S,2019
CL104514028@,sin_nombre,GLACIAR ROCOSO,0.0321989677602,COQUIMBO,LIMARI,MONTE PATRIA,-30.8246798947855,-70.4913526802243,RIO LIMARI,MACROZONA NORTE,3472.85866667,3555,3437,0.000161487025632,0.000148083602505,26.0511209602,S,2019
CL104514033@,sin_nombre,GLACIAR ROCOSO,0.0203357890516,COQUIMBO,LIMARI,MONTE PATRIA,-30.8351958546685,-70.4732482404904,RIO LIMARI,MACROZONA NORTE,3569.28571429,3601,3546,8.65578231198e-05,7.93735238009e-05,18.6075511079,S,2019
