Id,COD_GLA,NOMBRE,CLASIFICA,AREA_KM2,REGION,PROVINCIA,COMUNA,DATUM,HUSO,NORTE,ESTE,FUENTE_DIG,FUEN_FECHA,INVE_FECHA,NOM_CUEN,COD_CUEN,COD_SCUEN,COD_SSCUEN,MZON_GLAC,LATITUD,LONGITUD,PERIMETRO,ORIENTA,HMEDIA,HMAX,HMIN,PENDIENTE,ESP_MED,F_ESP_MED,VOL_km3,EQ_AGUAKM3,WGI_1,WGI_2,WGI_3,FRENTE_TER,RESOL_IMG,ERROR,CUT_REG,CUT_PROV,CUT_COM
0,CL103810027@,Glaciar no identificado,GLACIAR ROCOSO,0.115133294094,COQUIMBO,ELQUI,VICUÑA,WGS 84,19 SUR,6710393,400059,GE01,30/12/2018,2019,RIO HUASCO,38,381,3810,MACROZONA NORTE,"-29,7326342620111","-70,0334351395854",1.91869295654,N,4539.21884498,4663,4462,21.9219032881,13.1732699684,CHEN & OHMURA 1990,0.00091000917927,0.000834478417391,9,4,0,TIERRA,0.46,0.000882598779593,4,41,4106
0,CL104310020@,Glaciar no identificado,GLACIAR ROCOSO,0.767685746769,COQUIMBO,ELQUI,PAIGUANO,WGS 84,19 SUR,6631422,366343,WV02,11/05/2018,2019,RIO ELQUI,43,431,4310,MACROZONA NORTE,"-30,4419225798132","-70,391936682976",4.89678253662,N,3978.67710438,4222,3835,18.7387214945,25.9331553366,CHEN & OHMURA 1990,0.0119451082324,0.0109536642491,9,2,0,TIERRA,0.5,0.0024483913846,4,41,4105
0,CL104500012@,Glaciar no identificado,GLACIAR ROCOSO,0.215527059755,COQUIMBO,LIMARI,RIO HURTADO,WGS 84,19 SUR,6636192,360219,GE01,04/02/2015,2019,RIO LIMARI,45,450,4500,MACROZONA NORTE,"-30,3981901462108","-70,455063681334",3.38079777065,S,3947.02844551,4110,3834,23.1795047896,16.4780191838,CHEN & OHMURA 1990,0.00213087541516,0.0019540127557,9,2,0,TIERRA,0.46,0.00155516700901,4,43,4305
0,CL104500021@,Glaciar no identificado,GLACIAR ROCOSO,0.14101135236,COQUIMBO,LIMARI,RIO HURTADO,WGS 84,19 SUR,6632029,363625,WV03,29/04/2017,2019,RIO LIMARI,45,450,4500,MACROZONA NORTE,"-30,4361384211925","-70,4201591615525",1.46765023189,S,3936.55155583,4046,3840,24.4591361512,14.1621296447,CHEN & OHMURA 1990,0.0011982126321,0.00109876098364,9,3,0,TIERRA,0.31,0.00045497157641,4,43,4305
0,CL104500019@,Glaciar no identificado,GLACIAR ROCOSO,0.0645617195761,COQUIMBO,LIMARI,RIO HURTADO,WGS 84,19 SUR,6632867,363247,WV03,29/04/2017,2019,RIO LIMARI,45,450,4500,MACROZONA NORTE,"-30,428538032385","-70,4239811556824",1.23491204651,S,4030.67516779,4154,3950,26.8145399145,10.7153402708,CHEN & OHMURA 1990,0.000415080476236,0.000380628796708,9,3,0,TIERRA,0.31,0.000382822738225,4,43,4305
0,CL104500086@,Glaciar no identificado,GLACIAR ROCOSO,0.155502213437,COQUIMBO,LIMARI,RIO HURTADO,WGS 84,19 SUR,6625884,382883,WV02,09/01/2018,2019,RIO LIMARI,45,450,4500,MACROZONA NORTE,"-30,4936030890849","-70,2203501190128",2.11041876055,SE,4466.55052457,4651,4343,27.7275015472,14.6654305422,CHEN & OHMURA 1990,0.00136830414619,0.00125473490206,9,1,0,TIERRA,0.5,0.00105520943039,4,43,4305
0,CL104500041@,Glaciar no identificado,GLACIAR ROCOSO,0.382843261299,COQUIMBO,LIMARI,RIO HURTADO,WGS 84,19 SUR,6631642,375387,WV02,11/05/2018,2019,RIO LIMARI,45,450,4500,MACROZONA NORTE,"-30,4409058148659","-70,2977477377272",3.99079946195,NW,4142.12200633,4381,4019,15.9163375227,20.2294166613,CHEN & OHMURA 1990,0.00464681750927,0.004261131656,9,1,0,TIERRA,0.5,0.00199539982575,4,43,4305
0,CL104500043@,Glaciar no identificado,GLACIAR ROCOSO,0.630766697894,COQUIMBO,LIMARI,RIO HURTADO,WGS 84,19 SUR,6629960,375367,WV02,11/05/2018,2019,RIO LIMARI,45,450,4500,MACROZONA NORTE,"-30,4560784718398","-70,2981530861619",6.23973015695,N,4358.99248429,4580,4199,19.9265414551,24.1767548024,CHEN & OHMURA 1990,0.0091499350755,0.00839049046423,9,3,0,TIERRA,0.5,0.00311986522666,4,43,4305
0,CL104500022@,Glaciar no identificado,GLACIAR ROCOSO,0.126538730034,COQUIMBO,LIMARI,RIO HURTADO,WGS 84,19 SUR,6631896,364006,WV03,29/04/2017,2019,RIO LIMARI,45,450,4500,MACROZONA NORTE,"-30,4373835732398","-70,4162149230373",2.08304692149,SW,3965.59044369,4174,3862,25.9134313863,13.6250667732,CHEN & OHMURA 1990,0.00103445918767,0.000948599075093,9,2,0,TIERRA,0.31,0.000645744552083,4,43,4305
0,CL104500034@,Glaciar no identificado,GLACIAR ROCOSO,0.0914225744029,COQUIMBO,LIMARI,RIO HURTADO,WGS 84,19 SUR,6634753,371259,WV02,11/05/2018,2019,RIO LIMARI,45,450,4500,MACROZONA NORTE,"-30,4124081584866","-70,3403395068163",1.52238886523,E,4037.76266417,4201,3925,26.2804667162,12.1322385335,CHEN & OHMURA 1990,0.000665496288,0.000610260096096,9,1,0,TIERRA,0.5,0.00076119446877,4,43,4305
